class,natura,desc_capt,url_track,unique_tokens,desc_capt_de
6,natura,"Wanderung vom Goldenen Anker in Zwingenberg nahe der Neckarbrücke nach Eberbach über Burg Stolzeneck Zwingenberg Brücke, Zwingenberg Burg, Ziegen, Zwingenberg Burg, 1, Umgefallener Baum, 2, 3, Abzweigung, Abzweigung, Schlossblick, Bergbrunnen, Wildrosen, Abzweigung, Reihersee, Abzweigung, Ausblick auf den Neckar, Abzweigung rechts, Abzweigung, 4, Burg Stolzeneck, Burg Stolzeneck, Wegweiser, Bachlauf, Fingerhut, 5, Aussicht, Abzweigung Richtung Rockenau, Steinbruch, Abzweigung rechts, Blick auf Rockenau über Friedhof, Abzweigung, Blick auf Eberbach, Zur Stadt, Foto, Statue, Kirche",https://www.wikiloc.com/hiking-trails/zwingenberg-nach-eberbach-uber-burg-stolzeneck-25277861,47,"Wanderung vom Goldenen Anker in Zwingenberg nahe der Neckarbrücke nach Eberbach über Burg Stolzeneck Zwingenberg Brücke, Zwingenberg Burg, Ziegen, Zwingenberg Burg, 1, Umgefallener Baum, 2, 3, Abzweigung, Abzweigung, Schlossblick, Bergbrunnen, Wildrosen, Abzweigung, Reihersee, Abzweigung, Ausblick auf den Neckar, Abzweigung rechts, Abzweigung, 4, Burg Stolzeneck, Burg Stolzeneck, Wegweiser, Bachlauf, Fingerhut, 5, Aussicht, Abzweigung Richtung Rockenau, Steinbruch, Abzweigung rechts, Blick auf Rockenau über Friedhof, Abzweigung, Blick auf Eberbach, Zur Stadt, Foto, Statue, Kirche"
6,natura,"3.5 miles down hill. Some water. 3.5 miles back up hill. Photo, Photo",https://www.wikiloc.com/hiking-trails/my-wife-got-mad-by-mile-4-24703310,9,"3,5 Meilen hinunter. Etwas Wasser. 3,5 Meilen zurück Hügel. Foto, Foto"
6,natura,"Ruta circular sencilla. El desnivel real es de 420m (error en el altímetro del GPS). En el punto de partida se puede dejar bien el coche al principio del camino. En el lado de la pista justo pasada la mesa de pícnic. Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto",https://www.wikiloc.com/hiking-trails/gutenwaldweg-gutenbach-27777465,33,"Einfache kreisförmige Route. Die reale Steigung beträgt 420 m (Fehler im GPS -Höhenmesser). Am Startpunkt können Sie das Auto zu Beginn der Straße gut verlassen. Auf der Strecke kurz nach der Píconic -Tabelle. Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto"
6,natura,"Zwingenberg - Eberbach Foto, Foto, Foto",https://www.wikiloc.com/hiking-trails/zwingenberg-eberbach-26732213,3,"Zwingenberg - Eberbach Foto, Foto, Foto"
6,natura,"Una preciosa ascensión desde Friburgo a una cima desde donde se tiene una panorámica perfecta de los montes y las llanuras de alrededor (para eso hay que subir a la torre metálica de la cumbre!).  Foto, Arroyo a la derecha , Final del asfalto? Coger sendero que bordea la pista por la izquierda , Coger el sendero a la izquierda de la pista. El que sube , Siempre para arriba , Coger la pista de grava , Siempre para arriba dejando la grava a la derecha , Siempre para arriba. Cruzar la pista , El bosque se oscurece , Foto, Fuente , Coger la pista que sube. La de la derecha., Coger la pista a la izquierda , Cumbre , Panorama desde la torre , Torre y rotores energía eólica , Mirador , Cruzar la pista y coger el sendero a la izquierda , Cruzar la pista y seguir derecho , Foto, Coger la pista a la izquierda , Hacia abajo , Cruzar la pista y seguir para abajo , Por el de la derecha , Vista de Friburgo y hacia la derecha , Coger sendero izquierda , A la derecha , A la izquierda",https://www.wikiloc.com/hiking-trails/friburgo-subida-a-rosskopf-por-zahringen-25741617,60,"Ein wunderschöner Aufstieg von Freiburg bis zu einem Top, von dem Sie einen perfekten Panoramablick auf die Berge und die umliegenden Ebenen haben (dafür muss man zum metallischen Turm des Gipfels klettern!).  Foto, Arroyo rechts, Ende des Asphalts? Nehmen Sie den Weg, der die Strecke links grenzt, und nehmen Sie den Weg links von der Strecke. Derjenige, der aufgeht, immer aufgeht, nimmt die Schotterspur und lässt immer den Kies rechts, immer auf. Der Wald überquert die Strecke und verdunkelt sich, Foto, Brunnen, nimm die Strecke, die nach oben geht. Die eine auf der rechten Seite. Nehmen Sie die Strecke nach links, Summit, Panorama aus dem Turm, Turm und Rotoren Windergie, Aussicht, überqueren Sie die Strecke und nehmen Sie den Weg nach links"
6,natura,"Un ensayo de ascensión diferente para evitar el paso por las calles. Subida directamente hacia la montaña aunque eso ha conllevado perder altitud en algún momento y luego un poco de campo a través en un prado.  Fuente, Foto, Vistas, Foto, Vistas",https://www.wikiloc.com/hiking-trails/friburgo-subida-a-rosskopf-desde-zahringen-2-25630612,36,"Ein anderer Aufstiegsversuch, um zu vermeiden, durch die Straßen zu gehen. Laden Sie direkt auf den Berg hoch, obwohl dies dazu geführt hat, dass es irgendwann die Höhe verloren hat und dann ein kleines Feld durch eine Wiese.  Quelle, Foto, Ansichten, Foto, Ansichten"
6,natura,"Brotweg Elzach-Yach Yach Rebstock, Schneiderhof, Aussichtspunkt, Aussichtspunkt, Singlet-Baschg, Tränklehof, Aussichtspunkt, Rauchengrund, Einkehrmöglichkeit, Yach Schmiede, Gasthaus Adler, Yach Rathaus, Parkplatz",https://www.wikiloc.com/hiking-trails/brotweg-elzach-yach-29788230,15,"Brotweg Elzach-Yach Yach Rebstock, Schneiderhof, Aussichtspunkt, Aussichtspunkt, Singlet-Baschg, Tränklehof, Aussichtspunkt, Rauchengrund, Einkehrmöglichkeit, Yach Schmiede, Gasthaus Adler, Yach Rathaus, Parkplatz"
6,natura,Start am Eichbergturm Parkplatz; auf breiten geschotterten Waldwegen,https://www.wikiloc.com/hiking-trails/em-eichbergturm-runde-27355954,8,Start am Eichbergturm Parkplatz; auf breiten geschotterten Waldwegen
6,natura,"Alexanderschanze - hark Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto",https://www.wikiloc.com/hiking-trails/alexanderschanze-hark-27055567,3,"Alexanderschanze - Hark Foto, Fotos, Fotos, Fotos, Fotos, Fotos, Fotos, Fotos"
6,natura,"Weirle - Altenrond Photo, Photo, Photo, Photo, Photo, Photo, Photo, Photo",https://www.wikiloc.com/hiking-trails/weirle-altenrond-25232635,3,"Weirle - Altenrond Foto, Foto, Foto, Foto, Foto, Foto, Foto, Foto"
